system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_09_29_0,14468,3247.7608695652175,0.14249729,0.16983734,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.98407154749921,28.688818622700495]}"
2022_01_09_30_0,14421,3737.1739130434785,0.16324584,0.19503,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96589119902788,28.73378465231351]}"
2022_01_09_31_0,14535,3326.2608695652175,0.14958796,0.15528043,2022-01-09,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11611390480002,28.742777858236106]}"
2022_01_09_32_0,14426,4917.065217391304,0.18614687,0.26121676,2022-01-09,0.15061837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02052761710935,28.598886563474473]}"
2022_01_09_33_0,14547,2226.2608695652175,0.105173044,0.12993872,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02507837492108,28.688818622700495]}"
2022_01_09_34_0,14518,3390.695652173913,0.116453916,0.17214231,2022-01-09,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06845234602598,28.73378465231351]}"
2022_01_09_35_0,14454,4638.04347826087,0.22538158,0.23830211,2022-01-09,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04919642812877,28.83270991746213]}"
2022_01_09_36_0,14522,3366.8478260869565,0.17732283,0.20296839,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21448849626668,28.625866181242287]}"
2022_01_09_37_0,14543,3026.021739130435,0.14992806,0.14617804,2022-01-09,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13186930270113,28.805730299694318]}"
2022_01_09_38_0,14477,4723.891304347826,0.20476657,0.22175446,2022-01-09,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13439103301374,28.850696329307333]}"
2022_01_09_39_0,14477,3135.0,0.1154357,0.09341948,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0161763558021,28.634859387164884]}"
2022_01_09_40_0,14539,2182.413043478261,0.100169145,0.10358153,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03533008177656,28.688818622700495]}"
2022_01_09_41_0,14432,3395.6739130434785,0.1784053,0.14945334,2022-01-09,0.15437572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91595564566907,28.6798254167779]}"
2022_01_09_42_0,14436,4832.173913043478,0.21112008,0.27829385,2022-01-09,0.14417312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00757181220047,28.85968953522993]}"
2022_01_09_43_0,14462,4059.2391304347825,0.18671353,0.21396942,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00266803910529,28.76975747600391]}"
2022_01_09_44_0,14449,3834.391304347826,0.15086588,0.17657802,2022-01-09,0.15517406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92785431494991,28.751771064158707]}"
2022_01_09_45_0,14537,4324.152173913043,0.2506308,0.3040358,2022-01-09,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23674762570117,28.697811828623102]}"
2022_01_09_46_0,14524,4968.913043478261,0.22640008,0.29259443,2022-01-09,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11913847023526,28.76076427008131]}"
2022_01_09_47_0,14519,2724.608695652174,0.14013559,0.23492171,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1547269247726,28.697811828623102]}"
2022_01_09_48_0,14421,4078.586956521739,0.17827336,0.22463866,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97251594005458,28.742777858236106]}"
